Name,Population,Poverty Count,Poverty Rate,County
Alameda County,1656754.0,161581.0,9.752866146694078,001
Alpine County,1039.0,205.0,19.73051010587103,003
Amador County,38429.0,3451.0,8.980197246870853,005
Butte County,225817.0,41974.0,18.587617407015415,007
Calaveras County,45514.0,5147.0,11.308608340290899,009
Colusa County,21454.0,2774.0,12.929989745502004,011
Contra Costa County,1142251.0,98595.0,8.631640506333547,013
Del Norte County,27495.0,4760.0,17.312238588834333,015
El Dorado County,188563.0,15643.0,8.295901104670588,017
Fresno County,984521.0,218254.0,22.16854693805414,019
Glenn County,27976.0,4818.0,17.221904489562483,021
Humboldt County,135940.0,26674.0,19.621892011181405,023
Imperial County,180701.0,41100.0,22.744755148006927,025
Inyo County,17977.0,1635.0,9.094954664293263,027
Kern County,887641.0,179980.0,20.276215271714577,029
Kings County,150691.0,24725.0,16.407748306136398,031
Lake County,64195.0,11753.0,18.308279461017214,033
Lassen County,30818.0,2830.0,9.182945032124083,035
Los Angeles County,10081570.0,1480446.0,14.684677088985149,037
Madera County,155433.0,29273.0,18.833195010068646,039
Marin County,259943.0,18349.0,7.058855210565393,041
Mariposa County,17420.0,2616.0,15.017221584385764,043
Mendocino County,87224.0,15251.0,17.48486655049069,045
Merced County,271382.0,56217.0,20.71508058751133,047
Modoc County,8907.0,1618.0,18.165487818569666,049
Mono County,14310.0,1713.0,11.970649895178196,051
Monterey County,433410.0,54393.0,12.550010382778432,053
Napa County,139623.0,10614.0,7.601899400528566,055
Nevada County,99244.0,10844.0,10.926605134819233,057
Orange County,3168044.0,340048.0,10.733689304820262,059
Placer County,385512.0,29588.0,7.674988067816306,061
Plumas County,18660.0,2224.0,11.918542336548768,063
Riverside County,2411439.0,325279.0,13.488999721742909,065
Sacramento County,1524553.0,220713.0,14.477227095417476,067
San Benito County,60376.0,5061.0,8.38246985557175,069
San Bernardino County,2149031.0,333613.0,15.52388029767835,071
San Diego County,3316073.0,374787.0,11.30213357787962,073
San Francisco County,874961.0,89030.0,10.175310670989907,075
San Joaquin County,742603.0,105461.0,14.201531639382011,077
San Luis Obispo County,282165.0,33261.0,11.787783743554304,079
San Mateo County,767423.0,51085.0,6.656693896325756,081
Santa Barbara County,444829.0,57556.0,12.938904612783789,083
Santa Clara County,1927470.0,142534.0,7.394875147213705,085
Santa Cruz County,273962.0,34419.0,12.56342120440061,087
Shasta County,179212.0,29423.0,16.417985402763208,089
Sierra County,3040.0,291.0,9.572368421052632,091
Siskiyou County,43468.0,8102.0,18.638998803717676,093
Solano County,441829.0,41121.0,9.306994334912376,095
Sonoma County,499772.0,45418.0,9.08774401126914,097
Stanislaus County,543194.0,81415.0,14.988199427828732,099
Sutter County,96109.0,14687.0,15.281607341664152,101
Tehama County,63912.0,13930.0,21.795593941669797,103
Trinity County,12700.0,2372.0,18.677165354330707,105
Tulare County,461898.0,108512.0,23.49263257255931,107
Tuolumne County,54045.0,6443.0,11.9215468590989,109
Ventura County,847263.0,74645.0,8.810133335221767,111
Yolo County,217352.0,39919.0,18.366060583753544,113
Yuba County,76360.0,11572.0,15.154531168150864,115
