Population,Poverty Count,Poverty Rate,County
9017.0,1584.0,17.566818232228012,049
267390.0,60861.0,22.76113542017278,047
64095.0,14398.0,22.4635306966222,033
17658.0,2629.0,14.88843583644807,043
74644.0,13598.0,18.217137345265527,115
1123678.0,108630.0,9.667360222412471,013
18195.0,1806.0,9.925803792250619,027
31470.0,3155.0,10.025421035907213,035
535684.0,91210.0,17.026829250080272,099
442996.0,65493.0,14.784106402766616,083
500943.0,52707.0,10.521556344733831,097
63247.0,13009.0,20.56856451689408,103
179957.0,40376.0,22.436470934723296,025
14058.0,1378.0,9.802247830416844,051
58671.0,5670.0,9.66405890473999,069
1629615.0,181194.0,11.11882254397511,001
1495400.0,246203.0,16.464023003878562,067
185015.0,17996.0,9.726778909818123,017
141005.0,11285.0,8.003262295663275,055
3283665.0,427031.0,13.004706631157564,073
433168.0,60933.0,14.066828574594615,053
864263.0,99096.0,11.465954229210322,075
2885.0,351.0,12.166377816291162,091
458809.0,122724.0,26.748385493745765,107
212605.0,39686.0,18.666541238446886,113
135490.0,27481.0,20.282677688390287,023
98838.0,11861.0,12.000445172909204,057
1203.0,235.0,19.534497090606816,003
154440.0,32244.0,20.87801087801088,039
87497.0,16448.0,18.798358800873174,045
273263.0,38605.0,14.12741571306763,087
13037.0,2545.0,19.521362276597376,105
10105722.0,1688505.0,16.708405396467466,037
2355002.0,362215.0,15.380666343383147,065
2121220.0,374810.0,17.669548655962135,071
1911226.0,162525.0,8.503703905241975,085
260814.0,20515.0,7.865758739944941,041
374985.0,30473.0,8.126458391669,061
43530.0,8915.0,20.480128646910178,093
178919.0,31967.0,17.866744169149168,089
434981.0,48623.0,11.178189392180348,095
27442.0,5571.0,20.30099846949931,015
21479.0,2979.0,13.869360770985613,011
27935.0,5404.0,19.344907821729013,021
225207.0,44977.0,19.97140408601864,007
150183.0,28013.0,18.652577189162557,031
18724.0,2439.0,13.0260628070925,063
280119.0,36420.0,13.001617169845673,079
971616.0,243040.0,25.0139972993446,019
878744.0,191123.0,21.74956528863924,029
3155816.0,378459.0,11.992429216405519,059
847834.0,85816.0,10.121792709421891,111
45057.0,5676.0,12.597376656235435,009
95583.0,15805.0,16.535367167801805,101
763450.0,54981.0,7.201650402776868,081
53899.0,6875.0,12.75533868902948,109
724153.0,121296.0,16.750051439405762,077
37306.0,3564.0,9.55342304186994,005
