NOAA_FIP,NOAA_Zone,County,FIP,Latitude,Longitude,NOAA ID,County Name,Date,Type,Direct Deaths,Direct Injuries,Property Damage,Crop Damage,Indirect Injuries,Indirect Deaths
016,Central Sacramento Valley,Sutter,101,39.3764,-121.926,767479.0,CENTRAL SACRAMENTO VALLEY (ZONE),06/09/2018,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
016,Central Sacramento Valley,Yuba,115,39.3764,-121.926,698876.0,CENTRAL SACRAMENTO VALLEY (ZONE),07/07/2017,Wildfire,0.0,0.0,0.0,0.0,6.0,0.0
016,Central Sacramento Valley,Yuba,115,39.3764,-121.926,711896.0,CENTRAL SACRAMENTO VALLEY (ZONE),08/29/2017,Wildfire,0.0,2.0,0.0,0.0,0.0,0.0
016,Central Sacramento Valley,Yuba,115,39.3764,-121.926,725589.0,CENTRAL SACRAMENTO VALLEY (ZONE),10/08/2017,Wildfire,4.0,0.0,0.0,0.0,1.0,0.0
016,Central Sacramento Valley,Yuba,115,39.3764,-121.926,767479.0,CENTRAL SACRAMENTO VALLEY (ZONE),06/09/2018,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Amador,005,38.6268,-121.5625,596809.0,SOUTHERN SACRAMENTO VALLEY (ZONE),07/27/2015,Wildfire,0.0,0.0,500000.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Amador,005,38.6268,-121.5625,837626.0,SOUTHERN SACRAMENTO VALLEY (ZONE),06/08/2019,Wildfire,0.0,2.0,0.0,0.0,0.0,0.0
017,Southern Sacramento Valley,El Dorado,017,38.6268,-121.5625,596809.0,SOUTHERN SACRAMENTO VALLEY (ZONE),07/27/2015,Wildfire,0.0,0.0,500000.0,0.0,0.0,0.0
017,Southern Sacramento Valley,El Dorado,017,38.6268,-121.5625,837626.0,SOUTHERN SACRAMENTO VALLEY (ZONE),06/08/2019,Wildfire,0.0,2.0,0.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Placer,061,38.6268,-121.5625,596809.0,SOUTHERN SACRAMENTO VALLEY (ZONE),07/27/2015,Wildfire,0.0,0.0,500000.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Placer,061,38.6268,-121.5625,837626.0,SOUTHERN SACRAMENTO VALLEY (ZONE),06/08/2019,Wildfire,0.0,2.0,0.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Sacramento,067,38.6268,-121.5625,596809.0,SOUTHERN SACRAMENTO VALLEY (ZONE),07/27/2015,Wildfire,0.0,0.0,500000.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Sacramento,067,38.6268,-121.5625,837626.0,SOUTHERN SACRAMENTO VALLEY (ZONE),06/08/2019,Wildfire,0.0,2.0,0.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Solano,095,38.6268,-121.5625,596809.0,SOUTHERN SACRAMENTO VALLEY (ZONE),07/27/2015,Wildfire,0.0,0.0,500000.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Solano,095,38.6268,-121.5625,837626.0,SOUTHERN SACRAMENTO VALLEY (ZONE),06/08/2019,Wildfire,0.0,2.0,0.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Sutter,101,38.6268,-121.5625,596809.0,SOUTHERN SACRAMENTO VALLEY (ZONE),07/27/2015,Wildfire,0.0,0.0,500000.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Sutter,101,38.6268,-121.5625,837626.0,SOUTHERN SACRAMENTO VALLEY (ZONE),06/08/2019,Wildfire,0.0,2.0,0.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Yolo,113,38.6268,-121.5625,596809.0,SOUTHERN SACRAMENTO VALLEY (ZONE),07/27/2015,Wildfire,0.0,0.0,500000.0,0.0,0.0,0.0
017,Southern Sacramento Valley,Yolo,113,38.6268,-121.5625,837626.0,SOUTHERN SACRAMENTO VALLEY (ZONE),06/08/2019,Wildfire,0.0,2.0,0.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,Sacramento,067,38.1432,-121.7623,532944.0,CARQUINEZ STRAIT AND DELTA (ZONE),07/04/2014,Wildfire,0.0,0.0,2500000.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,Sacramento,067,38.1432,-121.7623,596897.0,CARQUINEZ STRAIT AND DELTA (ZONE),07/22/2015,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,Sacramento,067,38.1432,-121.7623,715504.0,CARQUINEZ STRAIT AND DELTA (ZONE),09/23/2017,Wildfire,0.0,0.0,2000000.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,Sacramento,067,38.1432,-121.7623,725590.0,CARQUINEZ STRAIT AND DELTA (ZONE),10/08/2017,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,Sacramento,067,38.1432,-121.7623,767472.0,CARQUINEZ STRAIT AND DELTA (ZONE),06/30/2018,Wildfire,0.0,0.0,0.0,0.0,1.0,0.0
018,Carquinez Strait and Delta,San Joaquin,077,38.1432,-121.7623,532944.0,CARQUINEZ STRAIT AND DELTA (ZONE),07/04/2014,Wildfire,0.0,0.0,2500000.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,San Joaquin,077,38.1432,-121.7623,596897.0,CARQUINEZ STRAIT AND DELTA (ZONE),07/22/2015,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,San Joaquin,077,38.1432,-121.7623,715504.0,CARQUINEZ STRAIT AND DELTA (ZONE),09/23/2017,Wildfire,0.0,0.0,2000000.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,San Joaquin,077,38.1432,-121.7623,725590.0,CARQUINEZ STRAIT AND DELTA (ZONE),10/08/2017,Wildfire,0.0,0.0,0.0,0.0,0.0,0.0
018,Carquinez Strait and Delta,San Joaquin,077,38.1432,-121.7623,767472.0,CARQUINEZ STRAIT AND DELTA (ZONE),06/30/2018,Wildfire,0.0,0.0,0.0,0.0,1.0,0.0
