Population,Poverty Count,Poverty Rate,County
250699.0,53738.0,21.435266993486213,047
9605.0,1709.0,17.792816241540866,049
13905.0,1664.0,11.966918374685365,051
407435.0,54276.0,13.321388687766147,053
134051.0,12948.0,9.659010376647693,055
98186.0,8740.0,8.901472715051026,057
2965525.0,296846.0,10.009897067129765,059
336477.0,22090.0,6.565084686323285,061
20392.0,2437.0,11.95076500588466,063
2109464.0,278358.0,13.195674351399218,065
1395144.0,190768.0,13.67371396787715,067
54492.0,6323.0,11.603538134038024,069
2005287.0,291020.0,14.51263584713809,071
3022468.0,361248.0,11.95208683764394,073
789172.0,92600.0,11.733817216018815,075
673613.0,105502.0,15.662108658829327,077
265577.0,32183.0,12.11814276085655,079
704327.0,48744.0,6.920649073512729,081
416051.0,57463.0,13.811527913645202,083
1739396.0,152066.0,8.742460026353976,085
256901.0,31445.0,12.24012362738954,087
176906.0,28772.0,16.264004612619132,089
3366.0,365.0,10.843731431966726,091
44690.0,7487.0,16.75318863280376,093
410042.0,41158.0,10.037508352802883,095
474047.0,48005.0,10.126633013182238,097
509682.0,82480.0,16.182639371215778,099
93420.0,13194.0,14.123314065510597,101
62575.0,12397.0,19.811426288453855,103
13701.0,1993.0,14.546383475658711,105
429404.0,97012.0,22.59224413372954,107
56074.0,5925.0,10.566394407390234,109
809080.0,73842.0,9.126662381964701,111
196418.0,31895.0,16.238328462768177,113
71160.0,13760.0,19.33670601461495,115
1477980.0,165417.0,11.192100028417164,001
1176.0,145.0,12.329931972789115,003
38327.0,2720.0,7.0968246927753285,005
218635.0,39290.0,17.970590253161664,007
45994.0,3773.0,8.20324390137844,009
21165.0,3107.0,14.679896054807465,011
1024809.0,91142.0,8.893559677949744,013
28471.0,5526.0,19.409223420322434,015
179053.0,14003.0,7.820589434413274,017
908830.0,200288.0,22.038004907408425,019
27935.0,4875.0,17.451226060497582,021
133058.0,22973.0,17.265403057313353,023
168052.0,33784.0,20.103301359103135,025
18434.0,2178.0,11.8151242269719,027
815693.0,159967.0,19.61117724437993,029
151122.0,25713.0,17.014729820939372,031
64371.0,12087.0,18.77708906184462,033
35081.0,3438.0,9.80017673384453,035
9758256.0,1508618.0,15.459914148593764,037
147738.0,26656.0,18.04275135713222,039
248601.0,16796.0,6.756207738504672,041
18290.0,2286.0,12.498633132859487,043
87487.0,14710.0,16.81392664052945,045
